folder,manmask,reject_reason,note
020_3C_84_COMBINED,0,civ_unphysical,"Excluded. FOS alone was tested at GTR's prompting and is no better -- it cannot be, because COS covers only 1263-1406 A, entirely blueward of C IV, so FOS and the combination have identical wavelength coverage: both stop at 1577.1 A rest. That leaves 218 C IV pixels but no 1700-1705 A continuum window, no C III] and no Mg II, so nothing constrains the continuum on the red side of the line. The consequences differ between the two only in how the failure surfaces. The combination returns EW exactly 0.00 with the 9574 km/s sentinel blueshift, because the empty red continuum window leaves the continuum undefined. FOS alone instead extrapolates: its continuum fit runs NEGATIVE across 1500-1540 A and gives f2500 = -0.17, an unphysical continuum 900 A beyond the last data point, and it fails the sub-continuum veto on 179 pixels. Its apparently good window residuals (Si IV 0.50, C IV 0.61 rms) are an artefact of the errors being as large as the signal, not evidence of a good fit: median S/N is 1.50 per pixel in the C IV window and 1.05 in the blue continuum. The blueshift is meaningless under every variant -- 4038 and 4719 km/s from FOS alone, 9574 from the combination, 5737 from GTR's prior FOS fit. No configuration of this data yields a C IV measurement GTR 2026-09-21: TO REFIT on the regenerated tree -- the data behind this exclusion has changed. Verdict held open until that refit. GTR 2026-09-22, after the regeneration: manmask 0 stands, reason reduced to civ_unphysical. Coverage and S/N are no longer the issue -- COS now carries C IV at S/N 15 with 247 usable px -- but the quasar basis cannot represent NGC 1275: on COS alone the model puts a broad line peaking at 15 where the data peak at 8 and are narrow, predicts Lya/SiIV at 8-10 where the data sit flat at 3.5, and residuals run 5-7 sigma rms (EW 455 A reported against ~40 by eye). The merge is worse than COS alone (FOS S/N 2.7 and a STIS with 401 usable UV px diluting it). GTR judged only the FOS fit good, and the prior FOS masks give -6574 km/s on the regenerated FOS. GTR: 'if this had manmask=0 before, then keep it that way.' Fits in fit_iterations_v23/020_3C_84_COS and 020_3C_84_COMBINED."
011_NGC_3783_FOS,3,,"CO-ADDER FIX (2026-09-16): merged spectra were written without their gap pixels, leaving holes in the wavelength array that morph2 and get_ICA -- both index-aligned -- could not cope with; every merge was rebuilt on a full lattice and its records replayed (pipeline_output/refit_after_coaddfix_merges.csv). Re-test: the merge moves from 749.2 / 77.6 to 473.5 / 94.8 and still fails the veto (5 px); FOS alone stands. CONFIRMED by GTR. FOS alone -- the FOS+STIS combination fails the C IV veto and STIS alone fails badly. Masks are the subset of GTR's curated set whose absorption is significant: 1509-1516 (deepest pixel -6.3 sigma) and 1532-1538 (-2.9 sigma, 7 of 23 px below -1 sigma). The two dropped, 1541-1543 and 1544-1547, reach only -2.1 sigma, which is what noise alone gives in a 22-px window. 59.4 / 108.9, against 128.4 with all four and -78.8 with none. CAUTION: the blueshift spans four quanta across arguable mask sets, each mask only tipping the half-flux index across a pixel boundary, so it is not robust at the one-quantum level. GTR would have preferred a higher EW"
013_ESO_499-41_COS,0,low_snr;fit_unstable,"Excluded. One COS spectrum, 1277.8-1730.1 A. It has 50 usable pixels inside the 1500-1600 A C IV window, but they span 1581.9-1599.8 A only -- the far red wing, entirely redward of the 1549.48 A line centre. There is no core, no peak and no blue wing, and the blueshift is the half-flux point of the cumulative line profile, which cannot be formed from the red tail alone. The fit fails the sub-continuum veto on 262 pixels reaching 274 per cent below continuum and returns blue 680.3 with EW 4.39, both meaningless. S/N is 1.71 per pixel across the C IV window and 2.57 at Si IV. No C III] or Mg II coverage, so nothing anchors the redshift either. The good Si IV and C IV window residuals (0.91 and 0.77 rms) reflect errors as large as the signal, not a good fit GTR 2026-09-22, after the regeneration: manmask 0 stands. The line is now present (C IV S/N 3.8, 140 usable px, was 0) so the old reason insufficient_coverage no longer applies; the object fails on stability instead -- blueshift 1025/1162/1575 km/s and EW 28.9/38.2/10.3 A across the three automatic mask sets, every variant failing the sub-continuum veto over the red half of the window. Two single-pixel features at 1539 and 1552 A could be narrow C IV rather than noise; not pursued. Fits in fit_iterations_v23/013_ESO_499-41_COS."
015_Mrk_352_COS,2,,"GTR 2026-09-22, hand fit on the regenerated tree (BEST_iter05_gtr_hand2 in fit_iterations_v23): blueshift 404.5, EW 326.2 A, 234 usable px. The old no_civ_data was the segment bug -- the master file had no G160M. manmask 2, not 3: every variant including GTR's puts the model below the continuum at 1589-1600 A (31 px, worst -33%), on the far red side of the window away from the line and unaffected by the masks, so it looks like the basis rather than the fit. Measurement is stable: 404-611 km/s and 242-326 A across the automatic and hand variants. GTR: 'even with that there are still negative pixels, so manmask=2 seems appropriate.'"
022_ESO_462-9_COS,2,,"GTR 2026-09-22, hand fit on the regenerated tree (BEST_iter04_gtr_hand in fit_iterations_v23): blueshift -78.8, EW 143.3 A, 213 usable px, veto clean, windows SiIV med -0.24 rms 1.43 / CIV med +0.02 rms 1.36. Was manmask 0 on coverage (25 usable px in the master; 128 now). manmask 2 rather than 3 by GTR's call: the EW is well determined but the blueshift is not -- automatic variants gave -9.7 and 128.4, the hand fit -78.8, and at z=0.019 COS carries no C III] or Mg II so there is no redshift anchor. The line core 1545-1560 is flagged by the absorber detector because errors blow up at a segment junction, so the peak is set by the wings. GTR: 'I got the EW better ... not certain about the blueshift, so manmask=2.'"
027_ICRF_J171914.4+485849_COMBINED,0,low_snr;fit_unstable,"CONFIRMED by GTR (manmask 0). Excluded. Z 252-40, an ICRF radio source at z = 0.024, one FOS spectrum 1120-3198 A. The far-UV is noise: median S/N per pixel is 1.99 in the C IV window, 0.91 in the 1445-1465 A blue continuum window and 1.73 in the red one, with errors of 3-4 on fluxes of 4-7. No line is visible in the data at C IV; the reconstruction draws a broad double-humped shape through the scatter and reports 2261 km/s with EW 126, which would be an extreme outlier for a z = 0.024 object and is not a measurement. This is the 3C 84 trap: the veto passes and every window sits at rms 1.0-1.3 sigma only because the errors are as large as the flux, so the fit statistics cannot distinguish a line from none. The NUV is fine (Mg II S/N 19, C III] 4.5) and the anchors land within 250 km/s, so the redshift is not the problem; the C IV region simply was not detected. Half the window (141 of 280 px) is flagged bad on input. Blueshift moves 2261 -> 2330 between mask sets, one quantum, which says nothing when the line is absent GTR 2026-09-21: TO REFIT on the regenerated tree -- the data behind this exclusion has changed. Verdict held open until that refit. GTR 2026-09-22, after the regeneration: manmask 0 stands. The added STIS does not reach C IV, so the line still rests on the FOS at S/N 2.2. Every variant passes the veto and EW holds at 149-154 A, but the blueshift is not a measurement: 1644 / 1369 / 2398 km/s across the three automatic mask sets, fifteen quanta. C III] and Mg II anchors disagree (-220 to -420 vs +300). Fits in fit_iterations_v23/027_ICRF_J171914.4+485849_COMBINED."
026_Mrk_50_STIS,3,,"CONFIRMED by GTR: BEST_iter04_gtr_prior. GTR's curated masks adopted over my proposal: one range at 1510.4-1517.2 A covering a blue-wing absorber my pass missed, plus continuum-region pixels. Under GTR's masks the fit is better in three of four windows (Si IV 0.45 vs 0.54, C IV 0.54 vs 0.66, C III] 0.39 vs 0.43; Mg II 0.75 vs 0.68) and passes the veto. -147.9 / 168.32 against -78.8 / 164.14 from my masks -- one quantum apart, the absorber pulling the blue wing down without the mask. Anchors C III] +110, Mg II +250 km/s; the C III] peak sits +214, about three quanta, worth a glance at the redshift. Model peak 20.8 against data 22.6, an 8 per cent shortfall at the core with the wings tracked well; the red wing 1565-1600 A sits ~0.5 units above the model throughout, real line beyond the basis, not absorption"
030_NGC_863_COS,3,,"CONFIRMED by GTR: BEST_iter04_gtr_prior, -78.8 / 225.05. GTR's curated masks adopted. COS only, 1262-2070 A, so C III] is the only anchor (xcorr +30 km/s, peak -107) and there is no Mg II. The two candidate fits differ by exactly four pixels and nothing else -- same component set, no ranges inside C IV: GTR masks single pixels at 1545.4, 1548.4 and 1552.0 A, narrow spikes on the line peak, plus one at 1566.8. Each spike is +3 to +4 on errors of 5-6, under 1 sigma individually; GTR's standing practice is to treat such spikes as cosmic rays and mask them. Doing so gives -78.8 / 225.05 against -9.7 / 244.17 with them in, and rms 0.24 / 0.27 / 0.26 against 0.33 / 0.32 / 0.24 in Si IV / C IV / C III]. So the fit is sensitive to four sub-sigma peak pixels at the level of one quantum and 8 per cent in EW -- worth knowing when this object is compared with others. I cannot claim my fit is better: its lower residual is only in the window that includes the masked pixels' neighbours, and GTR's is a judgement about their own data. Both are superb fits by any absolute standard, sub-0.35 sigma everywhere, and both pass the veto. Model peak 27 against data 30 with the spikes, 8 per cent"
023_Mrk_1310_STIS,3,,"CONFIRMED by GTR: BEST_iter03_allmasks, 197.5 / 1181.94. GTR asked whether the priors' higher EW (1333.8, both AP's nomask fit and GTR's own, same 197.5 km/s) could be replicated. It can, exactly, and it is the pre-fix arithmetic, not a better fit: replaying this record's reconstruction and evaluating the equivalent width with the old continuum[i] indexing gives 1333.87; with the corrected continuum[EW] it gives 1181.94. Same model -- same blueshift, no masks, and f2500 identical to GTR's 2026-08-18 measurement row at 1.2846. The bug's sign is object-dependent: it samples the continuum at grid indices 0-280, 1260-1344 A, where for this object the fitted continuum is LOWER (median 1.408) than at 1500-1600 A (1.574), so the old formula inflated the EW by 13 per cent here, whereas on the first batch it deflated it. Nothing in the priors reaches the core any better; the 38 per cent shortfall (model 102 against data 165) is common to all three. Auto component set adopted, no masks -- the proposer found no absorption and none is visible. A giant narrow line: data peak 165 on a continuum of 5, 33 times continuum, EW 1181.94 at 197.5 km/s. Anchors are as good as they come, C III] xcorr +10 and Mg II -40 km/s, and every window is under 0.7 sigma rms. The model reaches 102 at the core against 165 in the data, a 38 per cent shortfall, with a red-shoulder excess at 1555-1575 A -- the NGC 6814 situation exactly: the basis cannot make a core this sharp, and the shoulder is line beyond the basis, not absorption. Neither alternative component set helps: comps high tips the model below continuum at the blue edge (27 px, 22 per cent, 1500-1509 A) and comps low fails on 44 px, and both give a LOWER EW (721, 519) because the core is fit worse still. As with NGC 6814, an EW this large already puts the object at an extremum of C IV distance, so a better core would not move it materially. GTR's prior figure exists but no curated store entry; AP's nomask baseline is the same fit"
025_Mrk_40_STIS,3,,"CONFIRMED by GTR, who overruled my provisional exclusion: iter01 (auto component set = high, no masks) adopted at -9.7 / 733.40. The sub-continuum run that tripped the veto -- 31 px, 21 per cent below, at 1500.0-1510.4 A -- sits 40 A blueward of the line centre where the cumulative line flux is still essentially zero, so the clamped pixels contribute nothing to the EW and do not move the half-flux point; the EW is positive and the measurement is unaffected. GTR's words: it looks fine, no negative EW, and a more realistic EW than their own prior (728.5 under their curated masks, which differ from iter01 by 0.7 per cent in EW and not at all in blueshift or residuals -- their masks are all outside the line and change nothing measurable). Lesson recorded: the veto is about failure inside the profile, not a shallow edge dip on an otherwise excellent fit. Giant narrow line, data peak 139 on continuum ~4, anchors C III] xcorr 0 km/s and Mg II +190, all windows 0.4-0.85 sigma rms. Model peak 85 against 139, 39 per cent short at the core, the same basis limit as Mrk 1310 and NGC 6814; comps low clears the edge dip only by under-reconstructing the whole line (197.5 / 466, C IV median +0.80) and is rejected. The C III] peak sits -216 km/s from the catalogue z while NED and SIMBAD are -147 and -120: the catalogue redshift may be ~two quanta high"
028_UGC_12163_FOS,0,civ_unphysical,"CONFIRMED by GTR (manmask 0) after their own hand attempt on the merge, which could not avoid sub-continuum pixels either. Final state of the merge: with only the absorbed pixels masked (zero-flux core 1546-1552 A and four dead single pixels, all already input-flagged) the flanks pin the line height -- model peak 8.7 against data 7.6 at 1545 A, flanks 15 per cent over -- and the global fit is good (Si IV 1.13, C III] 1.46, Mg II 1.77 sigma; anchors -180 / -140 km/s), giving 404.5 / 31.0 (266.5 / 33.0 with no dip masks). But the reconstruction sits below its continuum on 120 px inside the 1500-1600 A window, at 1502-1528 and 1577-1593 A, and GTR's rule is that negative-EW pixels within the emission window disqualify the fit; my argument that those runs lie outside the line and contribute 2 A of the EW was heard and rejected -- the Mrk 40 tolerance was for a marginal 10 A edge run, not a general waiver. The variants that mask the whole profile instead draw a line 2.7 times the data's height (model 19.7 vs 7.4) and are invalid for a different reason. SPLICE ATTEMPTED at GTR's suggestion (FOS for the line with the trough and zero-flux core masked, STIS for the continuum with its non-physical spikes masked) and it does not rescue the object; figures in 028_UGC_12163_SPLICE/. Findings, in order. (1) STIS's wild anchors were the spikes, not a wrong object: with them masked STIS alone fits the global spectrum well (Si IV 0.83, C III] 0.47, Mg II 0.77 sigma rms) but its own C IV fails the veto on the red side. (2) RETRACTED AND RE-TESTED 2026-09-17: I recorded that the two splices collapsed -- model a featureless continuum, C III] +2.8 sigma median, xcorr pinned at -2000 km/s, EW ~10 -- and attributed it to a slope difference between epochs (FOS and STIS agree at 1500-1535 A, 3.04 vs 3.07, but differ by 9-15 per cent at 1565-1600 A, so any join has a kink the morph's continuum fit cannot follow). That explanation was wrong. The splice FITS had been written by the pre-fix co-adder and carried 58 holes in its wavelength array, so every splice fit paired its pixels with the wrong ICA components past the first hole; the splices were never replayed with the 22 merges after the fix. Rebuilt contiguous and refit: all three constructions now produce a real line -- v2 (both instruments redward) 611.4 / 49.68, v3 (no overlap) 542.4 / 50.02, v4 (island) 5533.9 / 45.65 at baseline, and 887.0 / 54.40, 887.0 / 55.76, 5669.5 / 46.11 under the recorded mask sets -- with v4's C III] at +0.36 sigma instead of pinned. The slope difference is real but is not what killed those fits. It changes nothing here: every one of the six still fails the sub-continuum veto (v2/v3 on 90-97 px at -11 to -14 per cent across 1567-1600 A, v4 on 53-57 px to -42 per cent), and all six fit the global spectrum far worse than FOS alone (Si IV median +3.4 to +4.3 sigma, C III] +1.8 to +2.4, against +0.2 to +0.8 for FOS by itself), with the model again overshooting the data peak by half (12.7 against 8.6). Figures iter10-iter15 in 028_UGC_12163_SPLICE/. (3) A STIS-based construction with only a 1536-1565 A FOS island, pre-scaled by the measured 0.855 STIS/FOS ratio so it sits on STIS's continuum, fits the global spectrum well (Si IV 0.81, C III] 0.70) -- and the reconstruction runs flat at ~4 to 1545 A then steps DOWN to ~2.8 across the rest of the window, under the FOS line (3-6) and under the STIS red continuum alike: 149 sub-continuum px at -24 per cent, EW 5.4-5.5, blueshift 4300-5800 km/s, unchanged by masking the 1547-1553 A core on top. The basis, constrained by this NLS1's narrow-line far-UV, produces no C IV emission at all here; it is not a masking problem. Provisional 0 stands, pending GTR's view of the island figure (iter08_v4_island_allmasks.png). Excluded. UGC 12163 = Akn 564, three spectra, and no configuration of any of them passes the sub-continuum veto. The line itself is intrinsically weak -- data peak 8 on a continuum of 3 in FOS -- and carved by a saturated intrinsic absorber that takes the flux to zero at 1548-1552 A, with further absorption at 1545-1547 and 1552-1560. With the core masked the ICA has nothing to hold it and extrapolates a C IV twice the height of the data (model peak 15.4 against 8.4) from the rest of the UV. Independently, across the whole blue wing 1500-1535 A the reconstruction sits BELOW both the data (~3) and its own continuum (~3.5), at ~2, in every variant: baseline, non-C IV masks, all masks, the merged spectrum, and each component set. Masking that wing wholesale, the NGC 3227 remedy, makes it worse (101 -> 159 px, 29 -> 64 per cent below), which is what happens when the model is under the data rather than under an absorber; the iterative search cannot start because its base already fails. Only FOS covers the window: COS has C IV pixels at 1550.6 A and redward only, and the STIS spectrum is unusable (rms 5-7 in every window, anchors -2000 and +1680 km/s -- worth checking it is the right object). The blueshift swings -562.8 to +404.5 across variants, five quanta, with EW 32-66; none of it is a measurement. C III] and Mg II anchors in FOS land at -210 and -140 km/s. v22 manmask was 1"
029_Mrk_335_FOS,3,,"CONFIRMED by GTR: BEST_iter08_gtr_plus1510abs, -78.8 / 80.70 -- GTR's curated masks (comps high) plus the 1510 A absorber masked to its full extent, 1508.0-1517.5 A. GTR preferred their own mask set over my red-wing variant (iter07, -217.0 / 84.55) and asked about the pixels near 1510 A: the absorber's core 1508.3-1511.8 is input-flagged and the model sits +0.35 to +0.67 above the continuum across 1500-1520 A (the blue wing of C IV rising), so it contributes no negative EW and the veto is clean with or without the extra mask. The red model appearing above the data at 1512-1518 A is the absorber's unflagged red wing (-2.5 to -4 sigma), not the model being too high -- on the clean side, 1500-1507 A, the data sits at or slightly above the model. Masking the whole feature leaves the blueshift unchanged and moves EW 79.66 -> 80.70. FOS alone: the merge and STIS both fail the veto (STIS lacks C III] and Mg II), COS fails on 103 px. My iter07 red-wing mask (18 px at -1 to -5.4 sigma from 1557.6 to 1564.2 A) is left on the record as the alternative; GTR's judgement is that the deficit is not to be masked, and the two differ by two quanta"
004_NGC_5273_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for NGC  5273 (row 309, J134208.47+353913.7) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
008_MCG-6-30-15_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for MCG-06-30-015 (row 306, J133553.77-341744.7) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object. GTR 2026-09-21: manmask 1 stands, awaiting IUE. Correcting the record: HST data does exist for this object and the target name checks out, but no HST spectrum reaches C IV, so it cannot be measured here. The catalogue lists LWP/LWR/SWP, so there is IUE coverage to work with in that grouping. The reason iue_only is kept as the marker for that grouping, not as a claim that no HST spectrum exists."
014_IR1249-13_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for NGC  4748 (row 273, J125212.30-132451.7) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object. A Seyfert 2 companion (LEDA 3797560) lies 16 arcsec away, worth remembering when the IUE aperture is considered."
016_IC_4329A_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for RXC J1349.3-3018 (row 318, J134919.21-301833.8) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object. Catalogue z carries z_needs_check with a 147.5 km/s discrepancy; resolve that before any IUE measurement."
021_MKN_6_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for IC  450 (row 80, J065212.33+742535.4) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
024_MCG8-11-11_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for Z 232-3 (row 76, J055453.67+462622.4) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
034_MKN_704_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for Z  91-65 (row 123, J091825.98+161818.9) under any name variant in the rebin master. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
031_ESO_31-8_COS,0,insufficient_coverage;civ_unphysical,"CONFIRMED by GTR (manmask 0). Excluded. One COS spectrum; its 109 usable pixels inside 1500-1600 A all lie at 1555.5-1599.8 A, the red wing only, with no core, peak or blue wing -- the same pattern as ESO 499-41 (index 13) and ESO 462-9 (index 22). Every variant fails the sub-continuum veto across 1500-1538 A (109 px, 48 per cent below) and returns -562.8 / 141.5 regardless of masks. No C III] or Mg II. The window residuals (0.81, 0.86 sigma) describe a fit to the wing alone"
